t_sec,ABack_x,ABack_y,ABack_z
761.13,-1.013672,-1.47168,2.17334
761.14,-0.492676,-1.441406,1.493652
761.15,-0.088867,-1.054199,1.172363
761.16,0.020508,-0.660645,0.969238
761.17,0.132324,-0.387695,0.669434
761.18,0.458984,-0.221191,0.371094
761.19,0.864258,-0.069336,0.22168
761.2,1.037598,-0.039551,0.07373
761.21,0.770508,-0.176758,-0.129395
761.22,0.258789,-0.254883,-0.126465
761.23,0.018555,-0.120605,-0.154297
761.24,-0.022461,0.165039,-0.018066
761.25,0.092285,0.493164,0.191406
761.26,0.3125,0.697266,0.208496
761.27,0.459961,0.501953,-0.023926
761.28,0.500488,0.176758,0.145508
761.29,0.674805,0.02832,0.774414
761.3,1.053711,0.131348,1.855957
761.31,1.383301,0.141113,2.021484
761.32,1.402344,-0.060547,2.068359
761.33,1.489746,-0.211426,2.189453
761.34,1.705078,-0.437012,1.95459
761.35,1.935059,-0.585449,3.738281
761.36,0.787109,-0.90918,0.633789
761.37,0.550781,-1.009766,1.427734
761.38,0.308105,-0.970215,1.024414
761.39,0.081055,-0.74707,0.797852
761.4,-0.239746,-0.379883,0.70752
761.41,-0.560059,-0.077148,0.353027
761.42,-0.68457,-0.010254,-0.011719
761.43,-0.704102,-0.103027,-0.14502
761.44,-0.494629,-0.237305,-0.096191
761.45,-0.26416,-0.134766,-0.125977
761.46,-0.206543,0.107422,-0.064941
761.47,-0.286133,0.344238,0.196777
761.48,-0.398926,0.474121,0.36084
761.49,-0.540527,0.616211,0.910645
761.5,-0.823242,0.709473,1.368164
761.51,-1.212402,0.571777,1.473145
761.52,-1.492188,0.402344,1.562988
761.53,-1.374512,0.207031,1.67627
761.54,-1.086914,-0.193359,2.001953
761.55,-1.061523,-0.654785,2.468262
761.56,-0.831055,-0.962402,2.360352
761.57,-0.345703,-1.014648,1.992188
761.58,0.119629,-0.894043,1.536621
761.59,0.388184,-0.831055,1.165527
761.6,0.464844,-0.88916,1.07666
761.61,0.475586,-0.960449,0.853516
761.62,0.625977,-0.895996,0.559082
761.63,0.814453,-0.694824,0.331543
761.64,0.578613,-0.48584,-0.062012
761.65,0.115234,-0.375,0.005371
761.66,-0.189941,-0.087402,-0.157715
761.67,-0.202148,0.251465,0.078613
761.68,-0.060059,0.455566,0.210449
761.69,0.117676,0.560547,0.225586
761.7,0.254883,0.607422,0.091309
761.71,0.263672,0.5,-0.050781
761.72,0.129883,0.291504,-0.01123
761.73,0.079102,0.087402,0.374512
761.74,0.333008,0.174805,1.126465
761.75,0.621582,0.233398,1.833984
761.76,0.737793,0.196777,2.184082
761.77,1.012207,-0.083496,2.643555
761.78,1.321777,-0.363281,2.15625
761.79,1.070313,-1.335449,1.587891
761.8,0.660156,-0.509766,1.438477
761.81,0.556641,-0.618652,1.366211
761.82,0.531738,-0.948242,1.157227
761.83,0.446289,-1.052246,1.058594
761.84,0.244141,-0.791992,1.024414
761.85,-0.155273,-0.520996,0.808105
761.86,-0.3458930409812037,-0.33779570815902726,0.35465467720426547
761.87,-0.36600009269251904,-0.18593340076943382,-0.19836035730772805
761.88,-0.1779398013180613,-0.07033548674300222,-0.12440349629256509
761.89,0.1091903775121009,0.003954829691666051,0.0227451956584499
761.9,0.20433204761740517,0.272655237027826,0.06296910587975935
761.91,-0.006942966820068247,0.5968034051079751,0.17605387755291202
761.92,-0.4067583104576287,0.746291587479757,0.3916894119691147
761.93,-0.796249633787927,0.8763290517746769,0.8669769820808018
761.94,-1.3406740356512297,0.7038138636488446,1.0416487968422103
761.95,-1.5853812327143786,0.4665853436702403,0.9879725060573867
761.96,-1.4486208948286152,0.19099629312834976,1.2750022958002591
761.97,-1.1575350874095425,-0.4245385269808964,1.7853791255939058
761.98,-1.6486996864857504,-0.6787454582533534,2.090256709142846
761.99,-1.2999181468302257,-1.0133265012524308,1.5701726351317136
762.0,-0.8568863504079314,-1.050400096333843,1.562142894409114
762.01,-0.6043575866766533,-0.804236679368808,1.41569482431859
762.02,-0.20293626618785554,-0.5594565240719471,1.1372978641499605
762.03,0.22587644225679043,-0.4327139543858548,0.9191708910081422
762.04,0.4672667695357882,-0.4998629528135936,0.8513575265191405
762.05,0.6441963147452371,-0.6214867219089838,0.6750603409337141
