t_sec,ABack_x,ABack_y,ABack_z
761.13,-1.013672,-1.47168,2.17334
761.14,-0.492676,-1.441406,1.493652
761.15,-0.088867,-1.054199,1.172363
761.16,0.020508,-0.660645,0.969238
761.17,0.132324,-0.387695,0.669434
761.18,0.458984,-0.221191,0.371094
761.19,0.864258,-0.069336,0.22168
761.2,1.037598,-0.039551,0.07373
761.21,0.770508,-0.176758,-0.129395
761.22,0.258789,-0.254883,-0.126465
761.23,0.018555,-0.120605,-0.154297
761.24,-0.022461,0.165039,-0.018066
761.25,0.092285,0.493164,0.191406
761.26,0.3125,0.697266,0.208496
761.27,0.459961,0.501953,-0.023926
761.28,0.500488,0.176758,0.145508
761.29,0.674805,0.02832,0.774414
761.3,1.053711,0.131348,1.855957
761.31,1.383301,0.141113,2.021484
761.32,1.402344,-0.060547,2.068359
761.33,1.489746,-0.211426,2.189453
761.34,1.705078,-0.437012,1.95459
761.35,1.935059,-0.585449,3.738281
761.36,0.787109,-0.90918,0.633789
761.37,0.550781,-1.009766,1.427734
761.38,0.308105,-0.970215,1.024414
761.39,0.081055,-0.74707,0.797852
761.4,-0.239746,-0.379883,0.70752
761.41,-0.560059,-0.077148,0.353027
761.42,-0.68457,-0.010254,-0.011719
761.43,-0.704102,-0.103027,-0.14502
761.44,-0.494629,-0.237305,-0.096191
761.45,-0.26416,-0.134766,-0.125977
761.46,-0.206543,0.107422,-0.064941
761.47,-0.286133,0.344238,0.196777
761.48,-0.398926,0.474121,0.36084
761.49,-0.540527,0.616211,0.910645
761.5,-0.823242,0.709473,1.368164
761.51,-1.212402,0.571777,1.473145
761.52,-1.492188,0.402344,1.562988
761.53,-1.374512,0.207031,1.67627
761.54,-1.086914,-0.193359,2.001953
761.55,-1.061523,-0.654785,2.468262
761.56,-0.831055,-0.962402,2.360352
761.57,-0.345703,-1.014648,1.992188
761.58,0.119629,-0.894043,1.536621
761.59,0.388184,-0.831055,1.165527
761.6,0.464844,-0.88916,1.07666
761.61,0.475586,-0.960449,0.853516
761.62,0.625977,-0.895996,0.559082
761.63,0.814453,-0.694824,0.331543
761.64,0.578613,-0.48584,-0.062012
761.65,0.115234,-0.375,0.005371
761.66,-0.189941,-0.087402,-0.157715
761.67,-0.202148,0.251465,0.078613
761.68,-0.060059,0.455566,0.210449
761.69,0.117676,0.560547,0.225586
761.7,0.254883,0.607422,0.091309
761.71,0.263672,0.5,-0.050781
761.72,0.129883,0.291504,-0.01123
761.73,0.079102,0.087402,0.374512
761.74,0.333008,0.174805,1.126465
761.75,0.621582,0.233398,1.833984
761.76,0.737793,0.196777,2.184082
761.77,1.012207,-0.083496,2.643555
761.78,1.321777,-0.363281,2.15625
761.79,1.070313,-1.335449,1.587891
761.8,0.660156,-0.509766,1.438477
761.81,0.556641,-0.618652,1.366211
761.82,0.531738,-0.948242,1.157227
761.83,0.446289,-1.052246,1.058594
761.84,0.244141,-0.791992,1.024414
761.85,-0.155273,-0.520996,0.808105
761.86,-0.3464015717171065,-0.3380581802650455,0.35563128352682477
761.87,-0.36840541221190826,-0.1878190012823897,-0.18964197169236485
761.88,-0.1799249023066073,-0.07588447790500369,-0.10734639406810431
761.89,0.11454491064617656,-0.007080617180556581,0.045767313053519776
761.9,0.21549133333045903,0.24674339504637677,0.09371916940761504
761.91,-0.007389191935119432,0.5454536751799588,0.20697900408465925
761.92,-0.44119704330085024,0.6712279791329286,0.4055118591505836
761.93,-0.8756143591288723,0.7753270862911281,0.8170461713292829
761.94,-1.4903448123896519,0.603361772748074,0.9491574749475364
761.95,-1.7794221572501625,0.38050690611706706,0.8852480096918185
761.96,-1.6400673159500765,0.13115248854724965,1.1007456732804144
761.97,-1.3210966529666996,-0.41264221163482734,1.4940090009502491
761.98,-1.876679201350063,-0.6351484304222559,1.7301527346285532
761.99,-1.4827427569528946,-0.9317161687540514,1.3163778162107413
762.0,-0.9820953632138798,-0.9690914938897381,1.323159231054582
762.01,-0.6954432766841433,-0.7531551322813469,1.2215569189097444
762.02,-0.24857096582874721,-0.5339902067865785,1.004637782639937
762.03,0.21913652394938327,-0.4191065906430913,0.8311226256130276
762.04,0.4756755966876294,-0.48512292135598933,0.7864882424306249
762.05,0.6578608008041649,-0.6057978698483063,0.6365417454939425
